source	ja
支付通道及点数结算费率	決済ゲートウェイ・ポイント精算料率
对Booking、SaaS、会员、Boost及达人收费收入计提	Booking、SaaS、会員、Boost、クリエイターマッチングの課金収入に対して計上
平台只确认耗材销售额的10%为收入	プラットフォームは消耗品販売額の10%のみを売上計上
四、返点与介绍人分润假设	4．リベート・紹介者レベニューシェア前提
介绍人覆盖店铺比例	紹介者経由店舗比率
约50%的店铺由介绍人导入	店舗の約50%を紹介者経由で獲得
介绍人分润比例	紹介者レベニューシェア率
对相关Booking贡献利润分成20%	該当するBooking限界利益の20%を分配
用户完单返点/单	取引完了ユーザーリベート／件
每笔完成订单返100 NDP；免费期订单也返	完了1件当たり100 NDPを還元。無料期間中の取引も対象
酒店联合预约订单比例	ホテル連携予約比率
仅高速增长版Y2起计入	高成長シナリオのみY2から計上
酒店单笔返点	ホテル予約1件当たりリベート
成功联合预约返点	ホテル連携予約の成約リベート
五、外国男性用户与多语言增量假设	5．訪日外国人男性ユーザー・多言語対応による増分前提
2025年访日外客数基准	2025年訪日外国人数の基準値
JNTO 2025年全年推计值；作为Y1前一年的实际基数	JNTO 2025年通年推計値。Y1前年の実績基準として使用
访日外客年增长率	訪日外国人数の年間成長率
按2025年4,268.36万人至2030年6,000万人官方目标的约7%年路径	2025年4,268.36万人から2030年6,000万人という政府目標に向けた年約7%の推移
预计访日外客总数	予測訪日外国人数
Y1=2025实际×(1+增长率)，以后逐年增长	Y1＝2025年実績×（1＋成長率）。以降は毎年同率で成長
用户指定：初期主要用户为男性，按访日总数50%估算	ユーザー指定：初期の主要顧客を男性とし、訪日外国人数の50%と推定
高速版外国男性用户渗透率	高成長シナリオの訪日外国人男性ユーザー利用率
用户指定：高速版Y1/Y2/Y3为1%/2%/4%	ユーザー指定：高成長シナリオのY1／Y2／Y3は1%／2%／4%
情景外国用户人数系数	シナリオ別訪日外国人ユーザー係数
用户指定：保守版外国男性用户人数为高速版的10%	ユーザー指定：保守シナリオの訪日外国人男性ユーザー数は高成長シナリオの10%
访日外客总数×男性比例×高速版渗透率×情景系数	訪日外国人数×男性比率×高成長シナリオ利用率×シナリオ係数
每名外国男性用户年均服务次数	訪日外国人男性ユーザー1人当たり年間利用回数
用户指定：保守版1次/年，高速版2次/年	ユーザー指定：保守シナリオは年1回、高成長シナリオは年2回
外国用户年完成订单	訪日外国人の年間完了件数
外国男性用户数×年均服务次数；人数与次数分开计算	訪日外国人男性ユーザー数×年間平均利用回数。人数と回数は分けて計算
外国订单收费资格比例	訪日外国人取引の課金対象比率
沿用同情景本地订单的收费资格比例，保留新店前三个月免费	同一シナリオの国内取引における課金対象比率を適用し、新規店舗の最初の3か月無料を維持
外国收费资格订单	訪日外国人の課金対象取引件数
外国用户年完成订单×收费资格比例	訪日外国人の年間完了件数×課金対象比率
外国男性用户/期末店铺	訪日外国人男性ユーザー／期末店舗数
用于检验获客强度，不代表单店独占用户	顧客獲得強度の確認用であり、店舗専属ユーザーを意味しない
外国订单/期末店铺	訪日外国人取引件数／期末店舗数
用于检验店铺履约负荷	店舗の履行負荷確認に使用
总订单/平均技师/周	総取引件数／平均セラピスト数／週
本地订单+外国订单；5单/技师/周作为模型容量警戒线	国内取引＋訪日外国人取引。セラピスト1人当たり週5件をモデル上の供給能力警戒水準とする
服务容量警戒线（总订单/技师/周）	サービス供給能力の警戒水準（総取引件数／セラピスト／週）
仅约束NeeDo店铺/技师承接能力；酒店/住处不设置容量上限	NeeDo加盟店舗・セラピストの受入能力のみを制約し、ホテル・宿泊先の容量上限は設定しない
36个月店铺爬坡、收费资格与订单驱动	36か月の店舗ランプアップ・課金対象・取引件数ドライバー
本表为店铺与本地订单基础驱动；外国用户增量见“外国用户测算”。每个新店前三个月免Booking平台费与SaaS月费。	本シートは店舗数と国内取引の基礎ドライバーです。訪日外国人の増分は「訪日外国人試算」を参照してください。新規店舗は最初の3か月間、Bookingプラットフォーム手数料とSaaS月額料金が無料です。
期间	期間
高速期末店铺	高成長期末店舗
高速月均活跃店铺	高成長月平均稼働店舗
高速新增店铺	高成長新規店舗
高速收费店铺	高成長課金対象店舗
高速完成订单	高成長・完了件数
高速收费订单	高成長・課金対象取引
高速平均用户	高成長平均ユーザー
高速平均技师	高成長平均セラピスト
保守期末店铺	保守期末店舗
保守月均活跃店铺	保守月平均稼働店舗
保守新增店铺	保守新規店舗
保守收费店铺	保守課金対象店舗
保守完成订单	保守・完了件数
保守收费订单	保守・課金対象取引
保守平均用户	保守平均ユーザー
保守平均技师	保守平均セラピスト
外国男性用户与多语言增量测算	訪日外国人男性ユーザー・多言語対応による増分試算
酒店/住处视为访日游客的既有条件，不设置酒店容量上限；本表只检验NeeDo店铺与技师的服务承接能力。	ホテル・宿泊先は訪日旅行者が確保済みの前提とし、宿泊容量の上限は設定しません。本シートではNeeDo加盟店舗とセラピストの受入能力のみを検証します。
JNTO实际值	JNTO実績値
2025实际值按约7%年度路径增长	2025年実績から年約7%で成長
用户指定50%	ユーザー指定50%
预计外国男性访日人数	予測訪日外国人男性数
访日外客总数×男性比例	訪日外国人数×男性比率
高速版男性用户渗透率	高成長シナリオの男性ユーザー利用率
高速版1%→2%→4%；保守列展示同一高速假设	高成長シナリオは1%→2%→4%。保守列にも同じ高成長前提を表示
人数，不含重复消费次数	人数ベース。複数回利用は含めない
每用户年均服务次数	ユーザー1人当たり年間利用回数
用户数×服务次数	ユーザー数×利用回数
沿用本地订单收费比例，保留新店3个月免费	国内取引の課金対象比率を適用し、新規店舗の3か月無料を維持
用于Booking平台费收入	Bookingプラットフォーム手数料収入の算出に使用
服务供给侧分摊基数	サービス供給側の配賦基準
获客强度参考	顧客獲得強度の参考値
服务履约负荷参考	サービス履行負荷の参考値
本地年完成订单	国内の年間完了件数
原店铺与技师驱动订单	既存の店舗数・セラピスト数に基づく取引
总年完成订单（含外国）	年間総完了件数（訪日外国人を含む）
本地订单+外国订单	国内取引＋訪日外国人取引
总订单/平均技师/周	総取引件数／平均セラピスト数／週
低于5单为本模型容量检查通过；不检查酒店容量	週5件未満でモデル上の供給能力チェックをクリア。宿泊容量は確認対象外
